,Movie Title,Year Released,Duration (mins),Budget ($),Gross profit ($),IMDB Score (/10),Number of Critic Reviews,Number of User Reviews,Number of Votes,Facebook Likes (Actor 1),Facebook Likes (Actor 2),Facebook Likes (Actor 3),Facebook Likes (Director),Facebook Likes (Cast Total),Faces on Poster
0,Avatar,2009,178.0,237000000,760505847,7.9,723,3054,886204.0,1000,936.0,855,10,4834.0,
1,Pirates of the Caribbean: At World's End,2007,,300000000,309404152,7.1,302,1238,471220.0,40000,5000.0,1000,563,48350.0,
2,Spectre,2015,148.0,245000000,200074175,6.8,602,994,275868.0,11000,393.0,161,20,11700.0,1.0
3,The Dark Knight Rises,2012,,250000000,448130642,8.5,813,2701,1144337.0,27000,23000.0,23000,22000,106759.0,
4,John Carter,2012,132.0,263700000,73058679,6.6,462,738,212204.0,640,632.0,530,475,1873.0,1.0
5,Spider-Man 3,2007,156.0,258000000,336530303,6.2,392,1902,383056.0,24000,11000.0,4000,23,46055.0,
6,Tangled,2010,,260000000,200807262,7.8,324,387,294810.0,799,553.0,284,15,,1.0
7,Avengers: Age of Ultron,2015,141.0,250000000,458991599,7.5,635,1117,462669.0,26000,21000.0,19000,10,92000.0,4.0
8,Avengers: Age of Ultron,2015,141.0,250000000,458991599,7.5,635,1117,462669.0,26000,21000.0,19000,10,92000.0,4.0
9,Harry Potter and the Half-Blood Prince,2009,153.0,250000000,301956980,7.5,375,973,321795.0,25000,11000.0,10000,282,58753.0,3.0
10,Batman v Superman: Dawn of Justice,2016,183.0,250000000,330249062,6.9,673,3018,,15000,,2000,,24450.0,
11,Superman Returns,2006,169.0,209000000,200069408,6.1,434,2367,240396.0,18000,10000.0,903,,,2.0
12,Quantum of Solace,2008,106.0,200000000,168368427,6.7,403,1243,330784.0,451,412.0,393,395,2023.0,1.0
13,Pirates of the Caribbean: Dead Man's Chest,2006,151.0,225000000,423032628,7.3,313,1832,522040.0,40000,5000.0,1000,563,48486.0,2.0
